Step 00000 | Validation bpb: 3.211895
step 00000/09841 (0.00%) | loss: 10.812500 | lrm: 0.03 | dt: 29884.55ms | tok/sec: 17,543 | bf16_mfu: 0.80 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00103/09841 (1.05%) | loss: 4.724625 | lrm: 1.00 | dt: 444.41ms | tok/sec: 1,179,743 | bf16_mfu: 53.92 | epoch: 1 pq: 1 rg: 24 | total time: 0.69m | eta: 72.1m
step 00104/09841 (1.06%) | loss: 4.714662 | lrm: 1.00 | dt: 439.91ms | tok/sec: 1,191,795 | bf16_mfu: 54.47 | epoch: 1 pq: 1 rg: 24 | total time: 0.70m | eta: 72.1m
step 00105/09841 (1.07%) | loss: 4.696321 | lrm: 1.00 | dt: 443.91ms | tok/sec: 1,181,078 | bf16_mfu: 53.98 | epoch: 1 pq: 1 rg: 24 | total time: 0.70m | eta: 72.1m
step 00106/09841 (1.08%) | loss: 4.686063 | lrm: 1.00 | dt: 444.97ms | tok/sec: 1,178,265 | bf16_mfu: 53.85 | epoch: 1 pq: 1 rg: 24 | total time: 0.71m | eta: 72.1m
step 00107/09841 (1.09%) | loss: 4.673707 | lrm: 1.00 | dt: 446.82ms | tok/sec: 1,173,368 | bf16_mfu: 53.63 | epoch: 1 pq: 1 rg: 32 | total time: 0.72m | eta: 72.1m
step 00108/09841 (1.10%) | loss: 4.668836 | lrm: 1.00 | dt: 444.47ms | tok/sec: 1,179,567 | bf16_mfu: 53.91 | epoch: 1 pq: 1 rg: 32 | total time: 0.73m | eta: 72.1m
step 00109/09841 (1.11%) | loss: 4.655077 | lrm: 1.00 | dt: 442.68ms | tok/sec: 1,184,350 | bf16_mfu: 54.13 | epoch: 1 pq: 1 rg: 32 | total time: 0.73m | eta: 72.0m
step 00110/09841 (1.12%) | loss: 4.642695 | lrm: 1.00 | dt: 448.08ms | tok/sec: 1,170,077 | bf16_mfu: 53.48 | epoch: 1 pq: 1 rg: 32 | total time: 0.74m | eta: 72.0m
step 00111/09841 (1.13%) | loss: 4.612800 | lrm: 1.00 | dt: 445.66ms | tok/sec: 1,176,438 | bf16_mfu: 53.77 | epoch: 1 pq: 1 rg: 32 | total time: 0.75m | eta: 72.0m
step 00112/09841 (1.14%) | loss: 4.601520 | lrm: 1.00 | dt: 443.62ms | tok/sec: 1,181,842 | bf16_mfu: 54.01 | epoch: 1 pq: 1 rg: 32 | total time: 0.76m | eta: 72.0m
step 00113/09841 (1.15%) | loss: 4.585118 | lrm: 1.00 | dt: 444.90ms | tok/sec: 1,178,444 | bf16_mfu: 53.86 | epoch: 1 pq: 1 rg: 32 | total time: 0.76m | eta: 72.0m
step 00114/09841 (1.16%) | loss: 4.573481 | lrm: 1.00 | dt: 448.93ms | tok/sec: 1,167,857 | bf16_mfu: 53.37 | epoch: 1 pq: 1 rg: 32 | total time: 0.77m | eta: 72.0m
